Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Afghanistan,AFG,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,0.652556836605072,..,0.709655046463013,0.617331266403198,..,..,0.51286256313324,..,..,..,0.486276715993881,..,..,..,..,..,..
Angola,AGO,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,0.323991715908051,0.340981155633926,0.365018993616104,0.360462218523026,0.342708319425583,0.323658168315887,0.322388231754303,0.320939660072327,0.304851680994034,0.300449371337891,0.289205551147461,0.297055423259735,0.324967801570892,0.32515287399292,0.3177430331707,..,..,0.345235496759415,..
Austria,AUT,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,0.29693278670311,0.295339524745941,0.266335040330887,0.287181854248047,0.243393898010254,0.245954215526581,0.257370829582214,0.255719602108002,0.267116785049438,0.252492189407349,0.275121122598648,0.277645528316498,0.273668766021729,0.269453138113022,0.274246662855148
Bangladesh,BGD,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,0.362534910440445,..,..,..,..,0.330727398395538,..,..,0.339852392673492,..,0.259464472532272,..,..,..
Belgium,BEL,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,0.46534526348114,0.48859491944313,0.478521972894669,0.464041024446487,0.385530084371567,0.388003319501877,0.373667865991592,0.3742436170578,0.374771982431412,0.386700719594955,0.390213578939438,0.389856845140457,0.398704200983047,0.401033401489258,0.39312407374382
Benin,BEN,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,..,..,..,..,..,0.48894140124321,..,..,..,0.464760005474091,..,..,..
Bhutan,BTN,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bolivia,BOL,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,0.459267526865005,0.45501434803009,0.460697948932648,0.464199632406235,..,0.44094118475914,0.444416075944901,0.419784754514694,0.437140226364136,0.434115678071976,..,0.443784356117249,0.44076070189476,..,0.460092157125473,..,..,..,..
