"PAIS","CODE","GS_2017"
"Aruba","ABW",NA
"Afganistan","AFG",11.7771938443184
"Angola","AGO",2.79150027781725
"Albania","ALB",NA
"Andorra","AND",10.3205524384975
"El mundo arabe","ARB",NA
"Emiratos Arabes Unidos","ARE",3.33428233861923
"Argentina","ARG",9.12431478500366
"Armenia","ARM",10.3627048432827
"Samoa Americana","ASM",NA
"Antigua y Barbuda","ATG",4.53353188931942
"Australia","AUS",9.20594781637192
"Austria","AUT",10.3966169059277
"Azerbaiyan","AZE",6.65182918310165
"Burundi","BDI",7.51757025718689
"Belgica","BEL",10.338669270277
"Benin","BEN",3.71858216822147
"Burkina Faso","BFA",6.91505968570709
"Bangladesh","BGD",2.27424874901772
"Bulgaria","BGR",8.09560343623161
"Bahrein","BHR",4.74810488522053
"Bahamas","BHS",5.75888901948929
"Bosnia y Herzegovina","BIH",8.93166735768318
"Belarus","BLR",5.92578575015068
"Belice","BLZ",5.64282275736332
"Bermudas","BMU",NA
"Bolivia","BOL",6.44316077232361
"Brasil","BRA",9.46747660636902
"Barbados","BRB",6.77912682294846
"Brunei Darussalam","BRN",2.37320773303509
"Bhutan","BTN",3.18696238100529
"Botswana","BWA",6.13456815481186
"Republica Centroafricana","CAF",5.82177564501762
"Canada","CAN",10.5727694928646
"Europa Central y del Baltico","CEB",NA
"Suiza","CHE",12.3463220894337
"Islas del Canal","CHI",NA
"Chile","CHL",8.9835099875927
"China","CHN",5.15119321644306
"Cote d'Ivoire","CIV",4.45303432643414
"Camerun","CMR",4.67066690325737
"Congo, Republica Democratica del","COD",3.97872291505337
"Congo, Republica del","COG",2.93027926236391
"Colombia","COL",7.22628086805344
"Comoras","COM",7.3843739926815
"Cabo Verde","CPV",5.16548864543438
"Costa Rica","CRI",7.32879638671875
"Estados pequeos del Caribe","CSS",NA
"Cuba","CUB",11.7113269865513
"Curacao","CUW",NA
"Islas Caiman","CYM",NA
"Chipre","CYP",6.68456926941872
"Republica Checa","CZE",7.23133906722069
"Alemania","DEU",11.2468346953392
"Djibouti","DJI",3.31651791930199
"Dominica","DMA",5.87688907980919
"Dinamarca","DNK",10.1082794368267
"Republica Dominicana","DOM",6.13639503717422
"Argelia","DZA",6.37432187795639
"Asia oriental y el Pacifico (excluido altos ingresos)","EAP",NA
"inicial del dividendo demografico","EAR",NA
"Asia oriental y el Pacifico","EAS",NA
"Europa y Asia central (excluido altos ingresos)","ECA",NA
"Europa y Asia central","ECS",NA
"Ecuador","ECU",8.25742930173874
"Egipto, Republica Arabe de","EGY",5.28763681650162
"Zona del Euro","EMU",NA
"Eritrea","ERI",2.87002343684435
"Espana","ESP",8.87312963604927
"Estonia","EST",6.42935782670975
"Etiopia","ETH",3.50255742669106
"Union Europea","EUU",NA
"Fragiles y situaciones de conflicto afectados","FCS",NA
"Finlandia","FIN",9.20693874359131
"Fiji","FJI",3.50074470043182
"Francia","FRA",11.3128922879696
"Islas Feroe","FRO",NA
"Micronesia (Estados Federados de)","FSM",12.3515494167805
"Gabon","GAB",2.78074592351913
"Reino Unido","GBR",9.63169410824776
