"CODE","PAIS","GS_2017","PPP_2018"
"ABW","Aruba",NA,NA
"AFG","Afganistan",11.7771938443184,524.162880925404
"AGO","Angola",2.79150027781725,3289.64666408633
"ALB","Albania",NA,5284.38018438156
"AND","Andorra",10.3205524384975,41793.0552583729
"ARB","El mundo arabe",NA,6603.35119013708
"ARE","Emiratos Arabes Unidos",3.33428233861923,43839.3563491413
"ARG","Argentina",9.12431478500366,11683.9496216363
"ARM","Armenia",10.3627048432827,4220.49027671249
"ASM","Samoa Americana",NA,11466.6907058505
"ATG","Antigua y Barbuda",4.53353188931942,16726.9808079479
"AUS","Australia",9.20594781637192,57395.9194663167
"AUT","Austria",10.3966169059277,51525.0464342791
"AZE","Azerbaiyan",6.65182918310165,4739.84171028393
"BDI","Burundi",7.51757025718689,271.752044376648
"BEL","Belgica",10.338669270277,47491.3232594693
"BEN","Benin",3.71858216822147,1240.82946441954
"BFA","Burkina Faso",6.91505968570709,820.160793810547
"BGD","Bangladesh",2.27424874901772,1698.35039428122
"BGR","Bulgaria",8.09560343623161,9423.5586115666
"BHR","Bahrein",4.74810488522053,23991.05667694
"BHS","Bahamas",5.75888901948929,32217.871590084
"BIH","Bosnia y Herzegovina",8.93166735768318,6072.18099160639
"BLR","Belarus",5.92578575015068,6330.0752464187
"BLZ","Belice",5.64282275736332,4884.7341615523
"BMU","Bermudas",NA,NA
"BOL","Bolivia",6.44316077232361,3548.59015254032
"BRA","Brasil",9.46747660636902,9001.23424863499
"BRB","Barbados",6.77912682294846,17745.1934649963
"BRN","Brunei Darussalam",2.37320773303509,31628.3287914349
"BTN","Bhutan",3.18696238100529,3243.23112593497
"BWA","Botswana",6.13456815481186,8279.60136473398
"CAF","Republica Centroafricana",5.82177564501762,475.953609871945
"CAN","Canada",10.5727694928646,46313.1713712961
"CEB","Europa Central y del Baltico",NA,15966.6683367845
"CHE","Suiza",12.3463220894337,82818.1081617471
"CHI","Islas del Canal",NA,NA
"CHL","Chile",8.9835099875927,15924.7942393064
"CHN","China",5.15119321644306,9976.67682180773
"CIV","Cote d'Ivoire",4.45303432643414,2302.61295091153
"CMR","Camerun",4.67066690325737,1534.49127445052
"COD","Congo, Republica Democratica del",3.97872291505337,557.064418324276
"COG","Congo, Republica del",2.93027926236391,2223.85447919587
"COL","Colombia",7.22628086805344,6718.58532391314
"COM","Comoras",7.3843739926815,1415.95531263535
"CPV","Cabo Verde",5.16548864543438,3617.32748829173
"CRI","Costa Rica",7.32879638671875,12112.1344206452
"CSS","Estados pequeos del Caribe",NA,9982.26808917155
"CUB","Cuba",11.7113269865513,8821.81889125004
"CUW","Curacao",NA,19573.892645136
"CYM","Islas Caiman",NA,85477.2870130687
"CYP","Chipre",6.68456926941872,28689.7067225792
"CZE","Republica Checa",7.23133906722069,23046.9491261402
"DEU","Alemania",11.2468346953392,47639.0034407122
"DJI","Djibouti",3.31651791930199,3141.88921873893
"DMA","Dominica",5.87688907980919,7691.34509727878
"DNK","Dinamarca",10.1082794368267,61390.6930097009
"DOM","Republica Dominicana",6.13639503717422,8050.63044027449
"DZA","Argelia",6.37432187795639,4114.71506136896
"EAP","Asia oriental y el Pacifico (excluido altos ingresos)",NA,7971.13751452149
"EAR","inicial del dividendo demografico",NA,3582.00222702088
"EAS","Asia oriental y el Pacifico",NA,11316.7604501843
"ECA","Europa y Asia central (excluido altos ingresos)",NA,8013.86070821048
"ECS","Europa y Asia central",NA,25171.425966277
"ECU","Ecuador",8.25742930173874,6295.93539868079
"EGY","Egipto, Republica Arabe de",5.28763681650162,2549.13225178609
"EMU","Zona del Euro",NA,39965.8403338731
"ERI","Eritrea",2.87002343684435,NA
"ESP","Espana",8.87312963604927,30337.6791331632
"EST","Estonia",6.42935782670975,23258.4675814303
"ETH","Etiopia",3.50255742669106,771.523813864476
"EUU","Union Europea",NA,35659.75714691
"FCS","Fragiles y situaciones de conflicto afectados",NA,2148.37917410722
"FIN","Finlandia",9.20693874359131,50021.2910567702
"FJI","Fiji",3.50074470043182,6266.96795881419
"FRA","Francia",11.3128922879696,41631.0907389044
"FRO","Islas Feroe",NA,NA
"FSM","Micronesia (Estados Federados de)",12.3515494167805,3568.291015625
"GAB","Gabon",2.78074592351913,7956.62781558686
"GBR","Reino Unido",9.63169410824776,43043.2278164551
"GEO","Georgia",7.60165899991989,4722.78778321766
"GHA","Ghana",3.26237045228481,2202.31216442504
"GIB","Gibraltar",NA,NA
"GIN","Guinea",4.12308685481548,983.309492239346
"GMB","Gambia",3.2820712774992,712.512371079256
