"Code","Country","HDI","infoalawk","d7","d30","%poburb18","%pobrur18","GS_2017","PPP_2018","StringencyIndex","Indice","Apoyo Economico","Densidad (2018)","Desempleo (% al 2019)","Contagd30"
"AGO","Angola",0.5745,1,2020-03-26,2020-04-18,65.51,34.49,2.79150027781725,3289.64666408633,33.33,-1.052086,"Sin apoyo",24.7130520574316,7,24
"AND","Andorra",0.8568,0,2020-03-08,2020-03-31,88.06,11.94,10.3205524384975,41793.0552583729,0,1.944976,"Sin apoyo",163.842553191489,4,376
"ARE","United Arab Emirates",0.8664,0,2020-02-04,2020-02-27,86.52,13.48,3.33428233861923,43839.3563491413,2.78,1.431291,"Sin apoyo",135.609110109828,2,13
"ARG","Argentina",0.8301,2,2020-03-09,2020-04-01,91.87,8.13,9.12431478500366,11683.9496216363,11.11,0.0259878,"Sin apoyo",16.2585100979651,8,1054
"AUS","Australia",0.9384,2,2020-02-01,2020-02-24,86.01,13.99,9.20594781637192,57395.9194663167,19.44,1.596495,"Sin apoyo",3.24787091037205,6,15
"AUT","Austria",0.9138,2,2020-03-02,2020-03-25,58.3,41.7,10.3966169059277,51525.0464342791,11.11,1.453342,"Sin apoyo",107.127966860564,6,5588
"AZE","Azerbaijan",0.7539,2,2020-03-07,2020-03-30,55.68,44.32,6.65182918310165,4739.84171028393,30.56,-0.1004674,"Sin apoyo",120.23431716463,5,273
"BEL","Belgium",0.9188,2,2020-02-10,2020-03-04,98,2,10.338669270277,47491.3232594693,11.11,1.171748,"Sin apoyo",377.379590488771,7,23
"BEN","Benin",0.5198,2,2020-03-22,2020-04-14,47.31,52.69,3.71858216822147,1240.82946441954,27.78,-0.5659866,"Sin apoyo",101.853919829727,1,35
"BFA","Burkina Faso",0.4335,2,2020-03-16,2020-04-08,29.36,70.64,6.91505968570709,820.160793810547,33.33,-0.5783429,"Sin apoyo",72.1912828947368,77,414
"BGD","Bangladesh",0.6137,2,2020-03-14,2020-04-06,36.63,63.37,2.27424874901772,1698.35039428122,13.89,-0.7483993,"Sin apoyo",1239.57931166936,4,123
"BGR","Bulgaria",0.8157,2,2020-03-14,2020-04-06,75.01,24.99,8.09560343623161,9423.5586115666,50.93,0.2718757,"Sin apoyo",64.7110998526161,6,549
"BHR","Bahrain",0.8378,2,2020-03-01,2020-03-24,89.29,10.71,4.74810488522053,23991.05667694,30.56,0.1798774,"Sin apoyo",2017.27369979138,4,392
"BIH","Bosnia and Herzegovina",0.7692,2,2020-03-11,2020-04-03,48.24,51.76,8.93166735768318,6072.18099160639,40.28,-0.6185398,"Menos del 50% del sueldo",64.92048828125,21,579
"BLR","Belarus",0.8171,0,2020-03-05,2020-03-28,78.6,21.41,5.92578575015068,6330.0752464187,0,-0.3010303,"Sin apoyo",46.7195037884204,1,94
"BLZ","Belize",0.7202,2,2020-03-29,2020-04-21,45.72,54.28,5.64282275736332,4884.7341615523,54.63,-0.5938884,"Menos del 50% del sueldo",16.7939938623411,9,18
"BRA","Brazil",0.7612,2,2020-03-03,2020-03-26,86.57,13.43,9.46747660636902,9001.23424863499,11.11,-0.4474374,"Sin apoyo",25.0617162430876,13,2985
"BRB","Barbados",0.8133,2,2020-03-23,2020-04-15,31.15,68.85,6.77912682294846,17745.1934649963,50,0.4269727,"Sin apoyo",666.606976744186,10,73
"BTN","Bhutan",0.6173,2,2020-03-12,2020-04-04,40.9,59.1,3.18696238100529,3243.23112593497,31.48,0.3588973,"Sin apoyo",19.7775277714448,3,5
"BWA","Botswana",0.7278,2,2020-04-05,2020-04-28,69.45,30.55,6.13456815481186,8279.60136473398,86.11,0.3334411,"Menos del 50% del sueldo",3.97742487604327,20,23
"CAF","Central African Republic",0.3807,2,2020-03-21,2020-04-13,41.36,58.64,5.82177564501762,475.953609871945,11.11,-1.720417,"Menos del 50% del sueldo",7.49041221227006,7,11
"CAN","Canada",0.9221,0,2020-02-01,2020-02-24,81.41,18.59,10.5727694928646,46313.1713712961,2.78,1.716108,"Sin apoyo",4.07518823864492,6,10
"CHE","Switzerland",0.9459,1,2020-03-02,2020-03-25,73.8,26.2,12.3463220894337,82818.1081617471,19.44,2.039621,"Sin apoyo",215.465350480429,3,10897
"CHL","Chile",0.8469,0,2020-02-29,2020-03-23,87.56,12.44,8.9835099875927,15924.7942393064,0,1.084034,"Sin apoyo",25.1894460666519,7,801
"CHN","China",0.7576,2,2020-01-28,2020-02-20,59.15,40.85,5.15119321644306,9976.67682180773,69.91,0.4771284,"Sin apoyo",148.348833270666,4,75077
"CMR","Cameroon",0.5627,0,2020-03-12,2020-04-04,56.37,43.63,4.67066690325737,1534.49127445052,0,-0.7996525,"Sin apoyo",53.3439889149796,4,555
"COL","Colombia",0.7609,2,2020-03-12,2020-04-04,80.78,19.22,7.22628086805344,6718.58532391314,34.26,-0.0852262,"Sin apoyo",44.7487021180712,9,1406
"CRI","Costa Rica",0.7935,2,2020-03-12,2020-04-04,79.34,20.66,7.32879638671875,12112.1344206452,37.04,0.3781868,"Sin apoyo",97.9130630630631,8,435
"CUB","Cuba",0.7777,2,2020-03-18,2020-04-10,77.04,22.96,11.7113269865513,8821.81889125004,13.89,-0.2448378,"Sin apoyo",108.999596231494,3,564
"DEU","Germany",0.9388,1,2020-02-02,2020-02-25,77.31,22.69,11.2468346953392,47639.0034407122,5.56,1.619633,"Sin apoyo",237.30759674834,4,17
"DMA","Dominica",0.7238,2,2020-03-28,2020-04-20,70.48,29.52,5.87688907980919,7691.34509727878,30.56,-0.2895034,"Sin apoyo",95.5,23,16
"DNK","Denmark",0.9299,2,2020-03-04,2020-03-27,87.87,12.13,10.1082794368267,61390.6930097009,20.37,1.871631,"Sin apoyo",137.976565849012,6,2200
"DOM","Dominican Republic",0.7446,2,2020-03-07,2020-03-30,81.07,18.93,6.13639503717422,8050.63044027449,11.11,-0.4002573,"Sin apoyo",219.97857586421,5,901
"ECU","Ecuador",0.7579,1,2020-03-07,2020-03-30,63.82,36.18,8.25742930173874,6295.93539868079,8.33,-0.2613976,"Sin apoyo",68.7886817522951,5,1962
"EGY","Egypt",0.6997,0,2020-02-20,2020-03-14,42.7,57.3,5.28763681650162,2549.13225178609,0,-0.5848041,"Sin apoyo",98.8734692852479,12,109
"ESP","Spain",0.8928,2,2020-02-07,2020-03-01,80.32,19.68,8.87312963604927,30337.6791331632,11.11,1.002136,"Sin apoyo",93.6771974435832,17,84
"EST","Estonia",0.8815,0,2020-03-04,2020-03-27,68.88,31.12,6.42935782670975,23258.4675814303,0,1.191938,"Más del 50% del sueldo",30.4112491373361,6,575
"ETH","Ethiopia",0.4698,2,2020-03-19,2020-04-11,20.76,79.24,3.50255742669106,771.523813864476,35.19,-0.6074697,"Sin apoyo",109.224559,18,69
"FIN","Finland",0.9252,1,2020-02-04,2020-02-27,85.38,14.62,9.20693874359131,50021.2910567702,5.56,1.984208,"Sin apoyo",18.1485472672831,9,2
"GAB","Gabon",0.7016,1,2020-03-20,2020-04-12,89.37,10.63,2.78074592351913,7956.62781558686,62.96,-0.8122834,"Sin apoyo",8.22476423332169,28,49
"GBR","United Kingdom",0.9204,2,2020-02-06,2020-02-29,83.4,16.6,9.63169410824776,43043.2278164551,11.11,1.341884,"Sin apoyo",274.708981936924,4,61
"GEO","Georgia",0.7864,2,2020-03-03,2020-03-26,58.63,41.37,7.60165899991989,4722.78778321766,41.67,0.6145709,"Sin apoyo",65.197330207495,12,79
"GHA","Ghana",0.5957,2,2020-03-20,2020-04-12,56.06,43.94,3.26237045228481,2202.31216442504,50,-0.2102704,"Sin apoyo",130.821429199262,12,566
"GIN","Guinea",0.4655,2,2020-03-19,2020-04-11,36.14,63.86,4.12308685481548,983.309492239346,13.89,-0.9709232,"Sin apoyo",50.5222122741332,3,250
"GRC","Greece",0.872,2,2020-03-03,2020-03-26,79.06,20.94,8.04139003157616,20324.3050137875,19.44,0.3382609,"Sin apoyo",83.2651823118697,22,892
"GTM","Guatemala",0.651,2,2020-03-20,2020-04-12,51.05,48.95,5.81384375691414,4472.89236269013,83.33,-0.6820061,"Sin apoyo",152.547125793206,2,155
"GUY","Guyana",0.6703,2,2020-03-18,2020-04-10,26.61,73.39,4.94550988078117,4979.00218839886,41.67,-0.2694839,"Sin apoyo",3.95734823469647,11,37
"HND","Honduras",0.623,2,2020-03-17,2020-04-09,57.1,42.9,7.85842537879944,2505.7767518956,93.52,-0.6206585,"Sin apoyo",85.6870319063366,6,343
"HRV","Croatia",0.8373,2,2020-03-02,2020-03-25,56.95,43.05,6.78913369774818,14920.1913831924,13.89,0.4569183,"Sin apoyo",73.0493745532523,12,442
"HTI","Haiti",0.5027,2,2020-03-26,2020-04-18,55.28,44.72,8.03550109267235,868.342024762787,82.41,-1.909054,"Sin apoyo",403.59854862119,41,44
"HUN","Hungary",0.8447,2,2020-03-10,2020-04-02,71.35,28.65,6.87998980283737,16150.7727613725,19.44,0.4873109,"Sin apoyo",107.981486799956,4,585
"IDN","Indonesia",0.7069,2,2020-03-08,2020-03-31,55.33,44.67,2.98905447125435,3893.84642475571,37.04,0.1798754,"Sin apoyo",147.75219008926,5,1528
